X,Y,Z,U-Magnitude
0.8383838383838385,-1.0,0.0044536716436501585,0.00051414716
0.8585858585858588,-1.0,0.003485194827476516,0.00047599903
0.8787878787878789,-1.0,0.00261650745247025,0.00043127564
0.8989898989898992,-1.0,0.0018562909648753702,0.00037964134
0.9191919191919193,-1.0,0.0012134255942190064,0.00032055363
0.9393939393939394,-1.0,0.0006969868577085434,0.00025354247
0.9595959595959598,-1.0,0.0003162529592576902,0.0001781391
0.9797979797979799,-1.0,8.070028161528171e-05,9.379927e-05
1.0,-1.0,0.0,0.0
-1.0,-0.9797979797979798,0.0,0.0
-0.9797979797979798,-0.9797979797979798,7.853127460039103e-05,7.400256e-05
-0.9595959595959596,-0.9797979797979798,0.00030808446360460943,0.0001414421
-0.9393939393939394,-0.9797979797979798,0.0006796991789422463,0.00020264296
